Package,LibPath,Version,Priority,Depends,Imports,LinkingTo,Suggests,Enhances,License,License_is_FOSS,License_restricts_use,OS_type,MD5sum,NeedsCompilation,Built
ISwR,C:/Users/pech/Documents/R/win-library/3.6,2.0-7,NA,R (>= 2.6.0),NA,NA,"survival,MASS",NA,GPL (>= 2),NA,NA,NA,NA,no,3.6.1
iterators,C:/Users/pech/Documents/R/win-library/3.6,1.0.12,NA,"R (>= 2.5.0), utils",NA,NA,"RUnit, foreach",NA,Apache License (== 2.0),NA,NA,NA,NA,no,3.6.1
itertools,C:/Users/pech/Documents/R/win-library/3.6,0.1-3,NA,"R (>= 2.14.0), iterators(>= 1.0.0)",parallel,NA,foreach,NA,GPL-2,NA,NA,NA,NA,no,3.6.1
itsadug,C:/Users/pech/Documents/R/win-library/3.6,2.3,NA,"R (>= 2.14.0), mgcv (>= 1.8), plotfunctions (>= 1.3)",NA,NA,"knitr, xtable, sp, data.table",NA,GPL (>= 2),NA,NA,NA,NA,no,3.6.1
janeaustenr,C:/Users/pech/Documents/R/win-library/3.6,0.1.5,NA,R (>= 3.1.2),NA,NA,"dplyr, testthat",NA,MIT + file LICENSE,NA,NA,NA,NA,no,3.6.1
janitor,C:/Users/pech/Documents/R/win-library/3.6,1.2.0,NA,R (>= 3.1.2),"dplyr (>= 0.7.0), tidyr (>= 0.7.0), snakecase (>= 0.9.2),
magrittr, purrr, rlang",NA,"testthat, knitr, rmarkdown, sf, tibble",NA,MIT + file LICENSE,NA,NA,NA,NA,no,3.6.1
jcolors,C:/Users/pech/Documents/R/win-library/3.6,0.0.4,NA,R (>= 3.2.0),"grDevices, scales, ggplot2 (>= 3.0.0)",NA,"knitr, rmarkdown, gridExtra",NA,GPL-2,NA,NA,NA,NA,no,3.6.1
jomo,C:/Users/pech/Documents/R/win-library/3.6,2.6-9,NA,NA,"stats, lme4, survival, MASS, ordinal",NA,mitml,NA,GPL-2,NA,NA,NA,NA,yes,3.6.1
jpeg,C:/Users/pech/Documents/R/win-library/3.6,0.1-8,NA,R (>= 2.9.0),NA,NA,NA,NA,GPL-2 | GPL-3,NA,NA,NA,NA,yes,3.6.0
jsonlite,C:/Users/pech/Documents/R/win-library/3.6,1.6,NA,methods,NA,NA,"httr, curl, plyr, testthat, knitr, rmarkdown, R.rsp, sp",NA,MIT + file LICENSE,NA,NA,NA,NA,yes,3.6.1
jtools,C:/Users/pech/Documents/R/win-library/3.6,2.0.1,NA,NA,"ggplot2 (>= 3.0.0), crayon, magrittr, pander, pkgconfig, rlang
(>= 0.3.0), tibble",NA,"boot, broom, ggstance, huxtable (>= 3.0.0), kableExtra, lme4,
lmerTest, MASS, methods, pbkrtest, RColorBrewer, sandwich,
scales, survey, weights, knitr, rmarkdown, testthat","brms, quantreg, rstanarm",MIT + file LICENSE,NA,NA,NA,NA,no,3.6.1
JuliaCall,C:/Users/pech/Documents/R/win-library/3.6,0.17.1,NA,R (>= 3.4.0),"utils, Rcpp (>= 0.12.7), knitr (>= 1.18)",Rcpp,"testthat, rmarkdown",NA,MIT + file LICENSE,NA,NA,NA,NA,yes,3.6.1
kableExtra,C:/Users/pech/Documents/R/win-library/3.6,1.1.0,NA,R (>= 3.1.0),"knitr (>= 1.16), magrittr, stringr (>= 1.0), xml2 (>= 1.1.1),
rvest, rmarkdown (>= 1.6.0), readr, scales, viridisLite, stats,
grDevices, htmltools, rstudioapi, glue, tools, webshot, digest",NA,"testthat, magick, formattable, dplyr",NA,MIT + file LICENSE,NA,NA,NA,NA,no,3.6.1
kangar00,C:/Users/pech/Documents/R/win-library/3.6,1.3,NA,R (>= 3.1.0),"methods, biomaRt, bigmemory, sqldf, CompQuadForm, data.table,
lattice, igraph",NA,testthat,NA,GPL-2,NA,NA,NA,NA,no,3.6.1
keras,C:/Users/pech/Documents/R/win-library/3.6,2.2.5.0,NA,R (>= 3.2),"generics (>= 0.0.1), reticulate (>= 1.10), tensorflow (>=
2.0.0), tfruns (>= 1.0), magrittr, zeallot, methods, R6",NA,"ggplot2, testthat (>= 2.1.0), knitr, rmarkdown, tfdatasets,
jpeg",NA,MIT + file LICENSE,NA,NA,NA,NA,no,3.6.1
kernlab,C:/Users/pech/Documents/R/win-library/3.6,0.9-27,NA,R (>= 2.10),"methods, stats, grDevices, graphics",NA,NA,NA,GPL-2,NA,NA,NA,NA,yes,3.6.0
KernSmooth,C:/Users/pech/Documents/R/win-library/3.6,2.23-16,recommended,"R (>= 2.5.0), stats",NA,NA,MASS,NA,Unlimited,NA,NA,NA,NA,yes,3.6.1
klaR,C:/Users/pech/Documents/R/win-library/3.6,0.6-14,NA,"R (>= 2.10.0), MASS","combinat, questionr, grDevices, stats, utils, graphics",NA,"scatterplot3d (>= 0.3-22), som, mlbench, rpart, e1071",NA,GPL-2,NA,NA,NA,NA,no,3.6.1
knitr,C:/Users/pech/Documents/R/win-library/3.6,1.26,NA,R (>= 3.2.3),"evaluate (>= 0.10), highr, markdown, stringr (>= 0.6), yaml
(>= 2.1.19), methods, xfun, tools",NA,"formatR, testit, digest, rgl (>= 0.95.1201), codetools,
rmarkdown, htmlwidgets (>= 0.7), webshot, tikzDevice (>= 0.10),
tinytex, reticulate (>= 1.4), JuliaCall (>= 0.11.1), magick,
png, jpeg, gifski, xml2 (>= 1.2.0), httr, DBI (>= 0.4-1),
showtext, tibble, sass, styler (>= 1.2.0)",NA,GPL,NA,NA,NA,NA,no,3.6.1
ks,C:/Users/pech/Documents/R/win-library/3.6,1.11.6,NA,R (>= 2.10.0),"FNN (>= 1.1), kernlab, KernSmooth (>= 2.22), Matrix, mclust,
mgcv, multicool, mvtnorm (>= 1.0-0)",NA,"maps, MASS, misc3d (>= 0.4-0), OceanView, oz, rgl (>= 0.66)",NA,GPL-2 | GPL-3,NA,NA,NA,NA,yes,3.6.1
labeling,C:/Users/pech/Documents/R/win-library/3.6,0.3,NA,NA,NA,NA,NA,NA,MIT + file LICENSE | Unlimited,NA,NA,NA,NA,no,3.6.0
labelled,C:/Users/pech/Documents/R/win-library/3.6,2.2.1,NA,NA,"haven (>= 2.1.0), dplyr, stats",NA,"testthat, knitr, rmarkdown, questionr, snakecase",memisc,GPL-3,NA,NA,NA,NA,no,3.6.1
Lahman,C:/Users/pech/Documents/R/win-library/3.6,7.0-1,NA,R (>= 2.10),dplyr,NA,"lattice, ggplot2, googleVis, data.table, vcd, reshape2,
tidyr, zipcode, knitr, rmarkdown, car",NA,GPL,NA,NA,NA,NA,no,3.6.1
lambda.r,C:/Users/pech/Documents/R/win-library/3.6,1.2.4,NA,R (>= 3.0.0),formatR,NA,testit,NA,LGPL-3,NA,NA,NA,NA,no,3.6.1
languageR,C:/Users/pech/Documents/R/win-library/3.6,1.5.0,NA,R(>= 3.0.2),methods,NA,"cluster, e1071, rms, Hmisc, MASS, rpart, lattice, zipfR,
lme4, multcomp, lmerTest, optimx",NA,GPL (>= 2),NA,NA,NA,NA,no,3.6.1
lars,C:/Users/pech/Documents/R/win-library/3.6,1.2,NA,R (>= 2.10),NA,NA,NA,NA,GPL-2,NA,NA,NA,NA,yes,3.6.0
later,C:/Users/pech/Documents/R/win-library/3.6,1.0.0,NA,NA,"Rcpp (>= 0.12.9), rlang","Rcpp, BH","knitr, rmarkdown, testthat",NA,GPL (>= 2),NA,NA,NA,NA,yes,3.6.1
lattice,C:/Users/pech/Documents/R/win-library/3.6,0.20-38,recommended,R (>= 3.0.0),"grid, grDevices, graphics, stats, utils",NA,"KernSmooth, MASS, latticeExtra",chron,GPL (>= 2),NA,NA,NA,NA,yes,3.6.1
latticeExtra,C:/Users/pech/Documents/R/win-library/3.6,0.6-28,NA,"R (>= 2.10.0), lattice, RColorBrewer","grid, stats, utils, grDevices",NA,"maps, mapproj, deldir, tripack, zoo, MASS, quantreg, mgcv",NA,GPL (>= 2),NA,NA,NA,NA,no,3.6.1
lava,C:/Users/pech/Documents/R/win-library/3.6,1.6.6,NA,R (>= 3.0),"grDevices, graphics, methods, numDeriv, stats, survival,
SQUAREM, utils",NA,"KernSmooth, Matrix, Rgraphviz, data.table, ellipse, fields,
foreach, geepack, gof (>= 0.9), graph, igraph (>= 0.6),
lava.tobit (>= 0.4.7), lme4, mets (>= 1.1), nlme, optimx,
polycor, quantreg, rgl, testthat (>= 0.11), visNetwork, zoo",NA,GPL-3,NA,NA,NA,NA,no,3.6.1
lazyeval,C:/Users/pech/Documents/R/win-library/3.6,0.2.2,NA,R (>= 3.1.0),NA,NA,"knitr, rmarkdown (>= 0.2.65), testthat, covr",NA,GPL-3,NA,NA,NA,NA,yes,3.6.1
lda,C:/Users/pech/Documents/R/win-library/3.6,1.4.2,NA,R (>= 2.10),NA,NA,"Matrix, reshape2, ggplot2 (>= 1.0.0), penalized, nnet",NA,LGPL,NA,NA,NA,NA,yes,3.6.1
LDAvis,C:/Users/pech/Documents/R/win-library/3.6,0.3.2,NA,R (>= 2.10),"proxy, RJSONIO, parallel",NA,"mallet, lda, topicmodels, gistr (>= 0.0.8.99), servr, shiny,
knitr, rmarkdown, digest, htmltools",NA,MIT + file LICENSE,NA,NA,NA,NA,no,3.6.1
leafem,C:/Users/pech/Documents/R/win-library/3.6,0.0.1,NA,R (>= 3.1.0),"htmltools (>= 0.3), htmlwidgets, leaflet (>= 2.0.1), raster,
sf, sp",NA,"gdalUtils, plainview, png",NA,MIT + file LICENSE,NA,NA,NA,NA,no,3.6.1
leaflet,C:/Users/pech/Documents/R/win-library/3.6,2.0.2,NA,R (>= 3.1.0),"base64enc, crosstalk, htmlwidgets, htmltools, magrittr,
markdown, methods, png, RColorBrewer, raster, scales (>=
1.0.0), sp, stats, viridis (>= 0.5.1)",NA,"knitr, maps, sf, shiny, testit (>= 0.4), rgdal, rgeos, R6,
RJSONIO, purrr, testthat",NA,GPL-3,NA,NA,NA,NA,no,3.6.1
leaflet.extras,C:/Users/pech/Documents/R/win-library/3.6,1.0.0,NA,"R (>= 3.1.0), leaflet (>= 2.0.0)","htmlwidgets, htmltools, stringr, magrittr",NA,"jsonlite, readr",NA,GPL-3 | file LICENSE,NA,NA,NA,NA,no,3.6.1
leaflet.minicharts,C:/Users/pech/Documents/R/win-library/3.6,0.5.4,NA,R (>= 2.10),"leaflet (>= 1.1.0), htmltools",NA,"knitr, rmarkdown, dplyr, shiny, manipulateWidget, testthat,
covr",NA,GPL (>= 2) | file LICENSE,NA,NA,NA,NA,no,3.6.1
leafpop,C:/Users/pech/Documents/R/win-library/3.6,0.0.1,NA,NA,"base64enc, brew, gdalUtils, htmlwidgets, Rcpp (>= 1.0.0),
svglite, uuid",Rcpp,"lattice, leaflet (>= 2.0.0), sf, sp",NA,MIT + file LICENSE,NA,NA,NA,NA,yes,3.6.1
leaps,C:/Users/pech/Documents/R/win-library/3.6,3.0,NA,,NA,NA,biglm,NA,GPL (>= 2),NA,NA,NA,NA,yes,3.6.1
learnr,C:/Users/pech/Documents/R/win-library/3.6,0.9.2.1,NA,NA,"utils, parallel, withr, rappdirs, rprojroot, jsonlite,
htmltools (>= 0.3.5), htmlwidgets, evaluate, knitr (>= 1.14),
markdown, shiny (>= 1.0), rmarkdown (>= 1.8)",NA,testthat,NA,Apache License 2.0 | file LICENSE,NA,NA,NA,NA,no,3.6.1
libcoin,C:/Users/pech/Documents/R/win-library/3.6,1.0-5,NA,R (>= 3.4.0),"stats, mvtnorm",mvtnorm,coin,NA,GPL-2,NA,NA,NA,NA,yes,3.6.1
LiblineaR,C:/Users/pech/Documents/R/win-library/3.6,2.10-8,NA,NA,NA,NA,SparseM,NA,GPL-2,NA,NA,NA,NA,yes,3.6.0
lifecycle,C:/Users/pech/Documents/R/win-library/3.6,0.1.0,NA,R (>= 3.2),"glue, rlang (>= 0.4.0)",NA,"covr, crayon, knitr, rmarkdown, testthat (>= 2.1.0)",NA,GPL-3,NA,NA,NA,NA,no,3.6.1
lift,C:/Users/pech/Documents/R/win-library/3.6,0.0.2,NA,NA,"stats, graphics",NA,NA,NA,GPL (>= 2),NA,NA,NA,NA,no,3.6.0
lime,C:/Users/pech/Documents/R/win-library/3.6,0.5.0,NA,NA,"glmnet, stats, ggplot2, tools, stringi, Matrix, Rcpp,
assertthat, htmlwidgets, shiny, shinythemes, methods,
grDevices, gower","Rcpp, RcppEigen","xgboost, testthat, mlr, h2o, text2vec, MASS, covr, knitr,
rmarkdown, sessioninfo, magick, keras, ranger",NA,MIT + file LICENSE,NA,NA,NA,NA,yes,3.6.1
lingtypology,C:/Users/pech/Documents/R/win-library/3.6,1.0.14,NA,R (>= 3.5.0),"leaflet, leaflet.minicharts, stats, utils, stringdist,
grDevices, rowr",NA,"knitr, rmarkdown, testthat, covr, MASS, sp, rgeos, rgdal,
ggplot2",NA,GPL (>= 2),NA,NA,NA,NA,no,3.6.1
linprog,C:/Users/pech/Documents/R/win-library/3.6,0.9-2,NA,"R (>= 2.4.0), lpSolve",NA,NA,NA,NA,GPL (>= 2),NA,NA,NA,NA,NA,3.6.1
lintr,C:/Users/pech/Documents/R/win-library/3.6,2.0.0,NA,R (>= 3.2),"rex, crayon, codetools, cyclocomp, stringdist, testthat,
digest, rstudioapi (>= 0.2), httr (>= 1.2.1), jsonlite, knitr,
stats, utils, xml2 (>= 1.0.0), xmlparsedata (>= 1.0.3)",NA,"rmarkdown, mockery",NA,MIT + file LICENSE,NA,NA,NA,NA,no,3.6.1
listenv,C:/Users/pech/Documents/R/win-library/3.6,0.7.0,NA,R (>= 3.1.2),NA,NA,"R.utils, R.rsp, markdown",NA,LGPL (>= 2.1),NA,NA,NA,NA,no,3.6.1
lm.beta,C:/Users/pech/Documents/R/win-library/3.6,1.5-1,NA,NA,NA,NA,NA,NA,GPL (>= 2),NA,NA,NA,NA,no,3.6.0
lme4,C:/Users/pech/Documents/R/win-library/3.6,1.1-21,NA,"R (>= 3.2.0), Matrix (>= 1.2-1), methods, stats","graphics, grid, splines, utils, parallel, MASS, lattice, boot,
nlme (>= 3.1-123), minqa (>= 1.1.15), nloptr (>= 1.0.4)","Rcpp (>= 0.10.5), RcppEigen","knitr, rmarkdown, PKPDmodels, MEMSS, testthat (>= 0.8.1),
ggplot2, mlmRev, optimx (>= 2013.8.6), gamm4, pbkrtest, HSAUR2,
numDeriv, car, dfoptim",NA,GPL (>= 2),NA,NA,NA,NA,yes,3.6.1
lmerTest,C:/Users/pech/Documents/R/win-library/3.6,3.1-0,NA,"R (>= 3.2.5), lme4 (>= 1.1-10), stats, methods","numDeriv, MASS, ggplot2",NA,"pbkrtest (>= 0.4-3), tools",NA,GPL (>= 2),NA,NA,NA,NA,no,3.6.1
lmtest,C:/Users/pech/Documents/R/win-library/3.6,0.9-37,NA,"R (>= 3.0.0), stats, zoo",graphics,NA,"car, strucchange, sandwich, dynlm, stats4, survival, AER",NA,GPL-2 | GPL-3,NA,NA,NA,NA,yes,3.6.1
logcondens,C:/Users/pech/Documents/R/win-library/3.6,2.1.5,NA,R (>= 2.10),"ks, graphics, stats",NA,NA,NA,GPL (>= 2),NA,NA,NA,NA,no,3.6.1
loo,C:/Users/pech/Documents/R/win-library/3.6,2.1.0,NA,R (>= 3.1.2),"graphics, matrixStats (>= 0.52), parallel, stats, checkmate",NA,"bayesplot (>= 1.5.0), brms (>= 2.2.0), ggplot2, knitr,
rmarkdown, rstan, rstanarm (>= 2.17.4), rstantools, spdep,
testthat",NA,GPL (>= 3),NA,NA,NA,NA,no,3.6.1
lpSolve,C:/Users/pech/Documents/R/win-library/3.6,5.6.13.3,NA,NA,NA,NA,NA,NA,LGPL-2,NA,NA,NA,NA,yes,3.6.1
lubridate,C:/Users/pech/Documents/R/win-library/3.6,1.7.4,NA,"methods, R (>= 3.0.0)","stringr, Rcpp (>= 0.12.13),","Rcpp,","testthat, knitr, covr","chron, fts, timeSeries, timeDate, tis, tseries, xts, zoo",GPL (>= 2),NA,NA,NA,NA,yes,3.6.1
lwgeom,C:/Users/pech/Documents/R/win-library/3.6,0.1-7,NA,R (>= 3.3.0),"Rcpp, units, sf (>= 0.6-0)","Rcpp, sf (>= 0.6-0)","covr, sp, geosphere, testthat",NA,GPL-2,NA,NA,NA,NA,yes,3.6.1
magic,C:/Users/pech/Documents/R/win-library/3.6,1.5-9,NA,"R (>= 2.10), abind",NA,NA,NA,NA,GPL-2,NA,NA,NA,NA,no,3.6.0
magick,C:/Users/pech/Documents/R/win-library/3.6,2.2,NA,NA,"Rcpp (>= 0.12.12), magrittr, curl",Rcpp,"av (>= 0.3), spelling, jsonlite, methods, knitr, rmarkdown,
rsvg, webp, pdftools, ggplot2, raster, rgdal, gapminder,
IRdisplay, tesseract (>= 2.0), gifski",NA,MIT + file LICENSE,NA,NA,NA,NA,yes,3.6.1
magrittr,C:/Users/pech/Documents/R/win-library/3.6,1.5,NA,NA,NA,NA,"testthat, knitr",NA,MIT + file LICENSE,NA,NA,NA,NA,no,3.6.1
mallet,C:/Users/pech/Documents/R/win-library/3.6,1.0,NA,rJava,NA,NA,NA,NA,MIT + file LICENSE,NA,NA,NA,NA,no,3.6.0
manipulate,C:/Users/pech/Documents/R/win-library/3.6,1.0.1,NA,R (>= 2.11.1),NA,NA,NA,NA,GPL-2,NA,NA,NA,NA,no,3.6.0
manipulateWidget,C:/Users/pech/Documents/R/win-library/3.6,0.10.0,NA,NA,"shiny (>= 1.0.3), miniUI, htmltools, htmlwidgets, knitr,
methods, tools, base64enc, grDevices, codetools, webshot",NA,"dygraphs, leaflet, plotly, xts, rmarkdown, testthat, covr",NA,GPL (>= 2) | file LICENSE,NA,NA,NA,NA,no,3.6.1
mapdata,C:/Users/pech/Documents/R/win-library/3.6,2.3.0,NA,"R (>= 2.14.0), maps (>= 2.0-7)",NA,NA,NA,NA,GPL-2,NA,NA,NA,NA,yes,3.6.1
mapproj,C:/Users/pech/Documents/R/win-library/3.6,1.2.6,NA,"R (>= 3.0.0), maps (>= 2.3-0)","stats, graphics",NA,NA,NA,Lucent Public License,NA,NA,NA,NA,yes,3.6.1
maps,C:/Users/pech/Documents/R/win-library/3.6,3.3.0,NA,R (>= 3.0.0),"graphics, utils",NA,"mapproj (>= 1.2-0), mapdata (>= 2.3.0), sp, maptools,
rnaturalearth",NA,GPL-2,NA,NA,NA,NA,yes,3.6.1
maptools,C:/Users/pech/Documents/R/win-library/3.6,0.9-8,NA,"R (>= 2.10), sp (>= 1.0-11)","foreign (>= 0.8), methods, grid, lattice, stats, utils,
grDevices",NA,"rgeos (>= 0.1-8), spatstat (>= 1.60), PBSmapping, maps,
RColorBrewer, raster, polyclip, spatstat.utils","gpclib, RArcInfo",GPL (>= 2),NA,NA,NA,NA,yes,3.6.1
mapview,C:/Users/pech/Documents/R/win-library/3.6,2.7.0,NA,"methods, R (>= 2.10)","base64enc, brew, htmltools, htmlwidgets, lattice, leafem,
leaflet (>= 2.0.0), leafpop, png, raster, Rcpp (>= 0.11.3),
satellite, scales (>= 0.2.5), sf, sp, svglite, uuid,
viridisLite, webshot",Rcpp,"covr, dplyr, knitr, lwgeom, plainview, rmarkdown, stars,
testthat",NA,GPL (>= 3) | file LICENSE,NA,NA,NA,NA,yes,3.6.1
markdown,C:/Users/pech/Documents/R/win-library/3.6,1.1,NA,R (>= 2.11.1),"utils, xfun, mime (>= 0.3)",NA,"knitr, RCurl",NA,GPL-2,NA,NA,NA,NA,yes,3.6.1
MASS,C:/Users/pech/Documents/R/win-library/3.6,7.3-51.4,recommended,"R (>= 3.1.0), grDevices, graphics, stats, utils",methods,NA,"lattice, nlme, nnet, survival",NA,GPL-2 | GPL-3,NA,NA,NA,NA,yes,3.6.1
Matrix,C:/Users/pech/Documents/R/win-library/3.6,1.2-17,recommended,R (>= 3.2.0),"methods, graphics, grid, stats, utils, lattice",NA,"expm, MASS","MatrixModels, graph, SparseM, sfsmisc",GPL (>= 2) | file LICENCE,NA,NA,NA,NA,yes,3.6.1
matrixcalc,C:/Users/pech/Documents/R/win-library/3.6,1.0-3,NA,R (>= 2.0.1),NA,NA,NA,NA,GPL (>= 2),NA,NA,NA,NA,NA,3.6.0
MatrixModels,C:/Users/pech/Documents/R/win-library/3.6,0.4-1,NA,R (>= 3.0.1),"stats, methods, Matrix (>= 1.1-5)",NA,NA,NA,GPL (>= 2),NA,NA,NA,NA,no,3.6.1
matrixStats,C:/Users/pech/Documents/R/win-library/3.6,0.55.0,NA,R (>= 2.12.0),NA,NA,"base64enc, ggplot2, knitr, microbenchmark, R.devices, R.rsp",NA,Artistic-2.0,NA,NA,NA,NA,yes,3.6.1
mboost,C:/Users/pech/Documents/R/win-library/3.6,2.9-1,NA,"R (>= 3.2.0), methods, stats, parallel, stabs (>= 0.5-0)","Matrix, survival, splines, lattice, nnls, quadprog, utils,
graphics, grDevices, partykit (>= 1.2-1)",NA,"TH.data, MASS, fields, BayesX, gbm, mlbench, RColorBrewer,
rpart (>= 4.0-3), randomForest, nnet, testthat (>= 0.10.0),
kangar00",NA,GPL-2,NA,NA,NA,NA,yes,3.6.1
mc2d,C:/Users/pech/Documents/R/win-library/3.6,0.1-18,NA,"R (>= 2.10.0), mvtnorm","stats, grDevices, graphics, utils",NA,"fitdistrplus, survival",NA,GPL (>= 2),NA,NA,NA,NA,no,3.6.1
mclust,C:/Users/pech/Documents/R/win-library/3.6,5.4.5,NA,R (>= 3.0),"stats, utils, graphics, grDevices",NA,"knitr (>= 1.12), rmarkdown (>= 0.9), mix (>= 1.0), geometry
(>= 0.3-6), MASS",NA,GPL (>= 2),NA,NA,NA,NA,yes,3.6.1
MCMCglmm,C:/Users/pech/Documents/R/win-library/3.6,2.29,NA,"Matrix, coda, ape","corpcor, tensorA, cubature, methods",NA,"rgl, combinat, mvtnorm, orthopolynom",NA,GPL (>= 2),NA,NA,NA,NA,yes,3.6.1
mda,C:/Users/pech/Documents/R/win-library/3.6,0.4-10,NA,"R (>= 1.9.0), stats, class",NA,NA,earth,NA,GPL-2,NA,NA,NA,NA,yes,3.6.1
memoise,C:/Users/pech/Documents/R/win-library/3.6,1.1.0,NA,NA,digest (>= 0.6.3),NA,"testthat, aws.s3, httr, covr",NA,MIT + file LICENSE,NA,NA,NA,NA,no,3.6.1
merTools,C:/Users/pech/Documents/R/win-library/3.6,0.5.0,NA,"R (>= 3.0.2), arm, lme4 (>= 1.1-11), methods","dplyr, mvtnorm, foreach, shiny, abind, ggplot2, blme, broom,",NA,"testthat, knitr, rmarkdown, parallel, nlme, future.apply,
rstanarm, Amelia, DT",NA,GPL (>= 2),NA,NA,NA,NA,no,3.6.1
mgcv,C:/Users/pech/Documents/R/win-library/3.6,1.8-29,recommended,"R (>= 2.14.0), nlme (>= 3.1-64)","methods, stats, graphics, Matrix, splines, utils",NA,"parallel, survival, MASS",NA,GPL (>= 2),NA,NA,NA,NA,yes,3.6.1
mice,C:/Users/pech/Documents/R/win-library/3.6,3.6.0,NA,"methods, R (>= 2.10.0), lattice","broom, dplyr, grDevices, graphics, MASS, mitml, nnet,
parallel, Rcpp, rlang, rpart, splines, stats, survival, utils",Rcpp,"AGD, CALIBERrfimpute, gamlss, lme4, mitools, nlme, pan,
randomForest, Zelig, BSDA, knitr, rmarkdown, testthat, HSAUR3,
micemd, miceadds, tidyr",NA,GPL-2 | GPL-3,NA,NA,NA,NA,yes,3.6.1
microbenchmark,C:/Users/pech/Documents/R/win-library/3.6,1.4-7,NA,NA,"graphics, stats",NA,"ggplot2, multcomp, RUnit",NA,BSD_2_clause + file LICENSE,NA,NA,NA,NA,yes,3.6.1
mime,C:/Users/pech/Documents/R/win-library/3.6,0.7,NA,NA,tools,NA,NA,NA,GPL,NA,NA,NA,NA,yes,3.6.0
miniUI,C:/Users/pech/Documents/R/win-library/3.6,0.1.1.1,NA,NA,"shiny (>= 0.13), htmltools (>= 0.3), utils",NA,NA,NA,GPL-3,NA,NA,NA,NA,no,3.6.1
minqa,C:/Users/pech/Documents/R/win-library/3.6,1.2.4,NA,NA,Rcpp (>= 0.9.10),Rcpp,NA,NA,GPL-2,NA,NA,NA,NA,yes,3.6.1
misc3d,C:/Users/pech/Documents/R/win-library/3.6,0.8-4,NA,NA,NA,NA,"rgl, tkrplot, MASS",NA,GPL,NA,NA,NA,NA,NA,3.6.1
mitml,C:/Users/pech/Documents/R/win-library/3.6,0.3-7,NA,NA,"pan, jomo, haven, grDevices, graphics, stats, utils",NA,"mice, miceadds, Amelia, lme4, nlme, geepack, survival, knitr,
rmarkdown",NA,GPL (>= 2),NA,NA,NA,NA,no,3.6.1
mitools,C:/Users/pech/Documents/R/win-library/3.6,2.4,NA,NA,"DBI, methods, stats",NA,"RODBC, foreign",NA,GPL-2,NA,NA,NA,NA,no,3.6.1
mlapi,C:/Users/pech/Documents/R/win-library/3.6,0.1.0,NA,methods,"R6 (>= 2.2.1), Matrix (>= 1.1)",NA,knitr,NA,MIT + file LICENSE,NA,NA,NA,NA,no,3.6.1
mlbench,C:/Users/pech/Documents/R/win-library/3.6,2.1-1,NA,R (>= 2.10),NA,NA,lattice,NA,GPL-2,NA,NA,NA,NA,NA,3.6.1
MLmetrics,C:/Users/pech/Documents/R/win-library/3.6,1.1.1,NA,R (>= 2.10),"stats, utils, ROCR",NA,e1071,NA,GPL-2,NA,NA,NA,NA,no,3.6.1
mlmRev,C:/Users/pech/Documents/R/win-library/3.6,1.0-7,NA,"lme4, R (>= 2.10)",NA,NA,lattice,NA,GPL (>= 2),NA,NA,NA,NA,no,3.6.1
mlr,C:/Users/pech/Documents/R/win-library/3.6,2.15.0,NA,"ParamHelpers (>= 1.10), R (>= 3.0.2)","backports (>= 1.1.0), BBmisc (>= 1.11), checkmate (>= 1.8.2),
data.table, ggplot2, methods, parallelMap (>= 1.3), stats,
stringi, survival, utils, XML",NA,"ada, adabag, bartMachine, batchtools, brnn, bst, C50, care,
caret (>= 6.0-57), class, clue, cluster, ClusterR, clusterSim
(>= 0.44-5), clValid, cmaes, cowplot, CoxBoost, crs, Cubist,
deepnet, DiceKriging, DiscriMiner, e1071, earth, elasticnet,
emoa, evtree, extraTrees, fda.usc, FDboost, flare, FNN, fpc,
frbs, FSelector, FSelectorRcpp (>= 0.2.1), gbm, GenSA, ggpubr,
glmnet, GPfit, h2o (>= 3.6.0.8), Hmisc, hrbrthemes, irace (>=
2.0), kernlab, kknn, klaR, knitr, laGP, LiblineaR, lintr (>=
1.0.0.9001), MASS, mboost, mco, mda, memoise, mlbench, mldr,
mlrMBO, mmpf, modeltools, mRMRe, neuralnet, nnet, nodeHarvest
(>= 0.7-3), numDeriv, pamr, pander, party, penalized (>=
0.9-47), pls, PMCMR (>= 4.1), praznik (>= 5.0.0), randomForest,
randomForestSRC (>= 2.7.0), ranger (>= 0.8.0), rappdirs,
refund, rex, rFerns, rgenoud, rknn, rmarkdown, ROCR,
rotationForest, rpart, RRF, rrlda, rsm, RSNNS, RWeka, sda, sf,
smoof, sparseLDA, stepPlr, survAUC, svglite, SwarmSVM,
testthat, tgp, TH.data, wavelets, xgboost (>= 0.6-2)",NA,BSD_2_clause + file LICENSE,NA,NA,NA,NA,yes,3.6.1
mnormt,C:/Users/pech/Documents/R/win-library/3.6,1.5-5,NA,R (>= 2.2.0),NA,NA,NA,NA,GPL-2 | GPL-3,NA,NA,NA,NA,yes,3.6.0
mockery,C:/Users/pech/Documents/R/win-library/3.6,0.4.2,NA,NA,testthat,NA,"knitr, rmarkdown (>= 1.0), R6",NA,MIT + file LICENSE,NA,NA,NA,NA,no,3.6.1
ModelMetrics,C:/Users/pech/Documents/R/win-library/3.6,1.2.2,NA,R (>= 3.2.2),"Rcpp, data.table",Rcpp,testthat,NA,GPL (>= 2),NA,NA,NA,NA,yes,3.6.1
